ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
2871,Hunter,Great Lakes,Theft,Receiving or handling stolen goods,32,31,39,27,24,25,25,23,7,19,20
2872,Hunter,Great Lakes,Theft,Motor vehicle theft,98,86,116,112,177,127,86,82,66,64,59
2873,Hunter,Great Lakes,Theft,Steal from motor vehicle,324,292,271,200,290,178,147,185,109,221,182
2874,Hunter,Great Lakes,Theft,Steal from retail store,78,71,42,45,52,46,74,60,76,84,97
2875,Hunter,Great Lakes,Theft,Steal from dwelling,197,185,180,218,178,140,150,114,197,159,205
2876,Hunter,Great Lakes,Theft,Steal from person,25,20,13,16,21,25,20,15,11,8,26
2877,Hunter,Great Lakes,Theft,Stock theft,6,4,5,2,4,4,6,2,6,7,6
2878,Hunter,Great Lakes,Theft,Fraud,162,153,145,146,146,117,126,86,175,126,135
2879,Hunter,Great Lakes,Theft,Other theft,352,300,241,253,260,229,205,202,260,249,257
2880,Hunter,Great Lakes,Arson,,23,27,18,29,50,45,34,44,32,40,47
2881,Hunter,Great Lakes,Malicious damage to property,,487,553,484,530,582,508,509,507,492,532,433
2882,Hunter,Great Lakes,Drug offences,Possession and/or use of cocaine,0,0,0,0,1,0,0,2,0,1,1
2883,Hunter,Great Lakes,Drug offences,Possession and/or use of narcotics,0,3,0,1,1,1,3,0,0,1,5
2884,Hunter,Great Lakes,Drug offences,Possession and/or use of cannabis,104,133,84,70,83,111,112,92,110,143,165
2885,Hunter,Great Lakes,Drug offences,Possession and/or use of amphetamines,12,29,30,14,17,17,5,9,14,15,25
2886,Hunter,Great Lakes,Drug offences,Possession and/or use of ecstasy,3,6,3,4,2,4,4,2,4,3,6
2887,Hunter,Great Lakes,Drug offences,Possession and/or use of other drugs,4,3,2,2,5,3,8,5,4,7,12
2888,Hunter,Great Lakes,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,1
2889,Hunter,Great Lakes,Drug offences,"Dealing, trafficking in narcotics",0,0,0,1,0,0,1,0,0,0,0
2890,Hunter,Great Lakes,Drug offences,"Dealing, trafficking in cannabis",7,13,3,6,3,4,3,6,4,7,13
2891,Hunter,Great Lakes,Drug offences,"Dealing, trafficking in amphetamines",4,18,18,11,7,6,0,1,4,6,5
2892,Hunter,Great Lakes,Drug offences,"Dealing, trafficking in ecstasy",1,1,2,4,0,1,0,0,1,2,0
2893,Hunter,Great Lakes,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,3,0,0,0,1,2,1
2894,Hunter,Great Lakes,Drug offences,Cultivating cannabis,10,28,16,14,8,19,15,14,17,20,18
2895,Hunter,Great Lakes,Drug offences,Manufacture drug,0,0,2,0,0,0,0,0,0,0,0
2896,Hunter,Great Lakes,Drug offences,Importing drugs,0,1,0,0,0,0,0,0,0,0,0
2897,Hunter,Great Lakes,Drug offences,Other drug offences,17,12,8,7,10,11,11,15,18,14,18
2898,Hunter,Great Lakes,Prohibited and regulated weapons offences,,37,34,31,37,35,48,80,45,22,26,53
2899,Hunter,Great Lakes,Disorderly conduct,Trespass,55,50,65,54,51,93,92,63,49,54,61
2900,Hunter,Great Lakes,Disorderly conduct,Offensive conduct,31,22,39,32,29,68,67,74,57,59,54
2901,Hunter,Great Lakes,Disorderly conduct,Offensive language,29,19,21,29,50,63,73,73,55,56,42
2902,Hunter,Great Lakes,Disorderly conduct,Criminal intent,6,5,7,8,4,5,9,10,10,2,8
2903,Hunter,Great Lakes,Betting and gaming offences,,1,0,1,0,0,0,2,0,0,0,0
2904,Hunter,Great Lakes,Liquor offences,,131,178,159,184,147,174,147,118,121,99,112
2905,Hunter,Great Lakes,Pornography offences,,1,2,1,3,1,0,0,1,5,1,2
2906,Hunter,Great Lakes,Prostitution offences,,0,0,0,0,0,0,0,0,0,1,0
2907,Hunter,Great Lakes,Against justice procedures,Escape custody,3,1,4,2,0,3,4,2,1,3,1
2908,Hunter,Great Lakes,Against justice procedures,Breach Apprehended Violence Order,65,73,87,82,62,77,140,68,86,96,116
2909,Hunter,Great Lakes,Against justice procedures,Breach bail conditions,36,36,82,38,108,58,95,64,78,114,104
2910,Hunter,Great Lakes,Against justice procedures,Fail to appear,3,1,4,3,5,6,2,1,0,0,4
2911,Hunter,Great Lakes,Against justice procedures,Resist or hinder officer,65,26,40,47,52,75,68,64,81,55,46
2912,Hunter,Great Lakes,Against justice procedures,Other offences against justice procedures,6,7,2,2,3,4,4,1,2,0,5
2913,Hunter,Great Lakes,Transport regulatory offences,,0,1,1,0,0,0,0,1,1,0,0
2914,Hunter,Great Lakes,Other offences,,91,72,102,90,74,78,140,96,139,121,163
2915,Hunter,Lake Macquarie,Homicide,Murder (a),2,0,0,4,1,2,2,3,2,2,1
2916,Hunter,Lake Macquarie,Homicide,Attempted murder,0,1,0,2,1,0,2,1,1,4,1
2917,Hunter,Lake Macquarie,Homicide,"Murder accessory, conspiracy",0,0,0,0,1,0,0,0,0,0,0
2918,Hunter,Lake Macquarie,Homicide,Manslaughter (a),0,1,0,0,0,1,0,0,1,0,0
2919,Hunter,Lake Macquarie,Assault,Domestic violence related assault,617,760,674,885,786,726,692,743,645,630,716
2920,Hunter,Lake Macquarie,Assault,Non-domestic violence related assault,858,908,983,1014,929,899,907,913,867,822,844
2921,Hunter,Lake Macquarie,Assault,Assault Police,41,31,35,53,45,24,42,45,31,36,35
2922,Hunter,Lake Macquarie,Sexual offences,Sexual assault,135,139,117,130,109,137,134,144,136,154,163
2923,Hunter,Lake Macquarie,Sexual offences,"Indecent assault, act of indecency and other sexual offences",217,156,125,151,123,147,119,146,129,169,143
2924,Hunter,Lake Macquarie,Abduction and kidnapping,,4,1,0,6,4,3,19,17,4,6,4
2925,Hunter,Lake Macquarie,Robbery,Robbery without a weapon,64,57,44,43,37,41,44,31,30,49,34
2926,Hunter,Lake Macquarie,Robbery,Robbery with a firearm,7,9,4,7,1,6,2,1,6,6,8
2927,Hunter,Lake Macquarie,Robbery,Robbery with a weapon not a firearm,48,34,49,24,36,23,29,15,18,24,46
2928,Hunter,Lake Macquarie,Blackmail and extortion,,1,0,1,0,0,0,0,1,0,0,3
2929,Hunter,Lake Macquarie,"Harassment, threatening behaviour and private nuisance",,271,337,368,504,607,617,550,623,691,688,724
2930,Hunter,Lake Macquarie,Other offences against the person,,12,18,14,16,20,25,18,21,15,30,16
2931,Hunter,Lake Macquarie,Theft,Break and enter dwelling,2461,1691,1462,1241,999,977,894,959,781,974,1152
2932,Hunter,Lake Macquarie,Theft,Break and enter non-dwelling,1039,932,802,795,961,765,793,849,715,724,678
2933,Hunter,Lake Macquarie,Theft,Receiving or handling stolen goods,231,199,137,93,89,112,116,74,76,108,141
2934,Hunter,Lake Macquarie,Theft,Motor vehicle theft,987,882,868,874,796,707,783,730,712,801,778
2935,Hunter,Lake Macquarie,Theft,Steal from motor vehicle,1458,1344,1384,1560,1467,1321,1367,1360,1155,1609,1688
2936,Hunter,Lake Macquarie,Theft,Steal from retail store,579,479,407,428,425,417,449,521,518,623,614
2937,Hunter,Lake Macquarie,Theft,Steal from dwelling,911,896,846,828,801,674,600,648,599,587,619
2938,Hunter,Lake Macquarie,Theft,Steal from person,151,175,150,131,91,91,96,79,90,104,98
2939,Hunter,Lake Macquarie,Theft,Stock theft,9,9,7,8,4,7,5,6,4,4,7
2940,Hunter,Lake Macquarie,Theft,Fraud,470,508,461,550,599,545,654,645,843,836,974
2941,Hunter,Lake Macquarie,Theft,Other theft,1419,1260,1056,988,1149,988,933,900,799,943,766
2942,Hunter,Lake Macquarie,Arson,,151,132,127,127,274,227,293,326,338,332,345
2943,Hunter,Lake Macquarie,Malicious damage to property,,2531,2532,2405,2948,3173,2899,3166,3063,2757,2925,2575
2944,Hunter,Lake Macquarie,Drug offences,Possession and/or use of cocaine,0,0,0,1,0,0,0,0,0,1,1
2945,Hunter,Lake Macquarie,Drug offences,Possession and/or use of narcotics,14,8,3,3,3,2,6,11,4,4,9
2946,Hunter,Lake Macquarie,Drug offences,Possession and/or use of cannabis,217,149,169,116,102,139,168,165,181,177,237
2947,Hunter,Lake Macquarie,Drug offences,Possession and/or use of amphetamines,30,22,37,19,23,35,37,24,42,43,82
2948,Hunter,Lake Macquarie,Drug offences,Possession and/or use of ecstasy,3,1,3,3,5,8,4,9,8,0,1
2949,Hunter,Lake Macquarie,Drug offences,Possession and/or use of other drugs,5,11,6,4,11,15,11,11,13,25,44
2950,Hunter,Lake Macquarie,Drug offences,"Dealing, trafficking in cocaine",0,1,0,0,0,0,0,1,0,0,0
2951,Hunter,Lake Macquarie,Drug offences,"Dealing, trafficking in narcotics",19,4,3,7,0,2,0,25,1,0,0
2952,Hunter,Lake Macquarie,Drug offences,"Dealing, trafficking in cannabis",11,6,14,5,11,12,11,9,9,0,7
2953,Hunter,Lake Macquarie,Drug offences,"Dealing, trafficking in amphetamines",13,3,12,2,1,60,31,35,46,12,11
2954,Hunter,Lake Macquarie,Drug offences,"Dealing, trafficking in ecstasy",1,1,1,1,1,1,1,6,29,3,1
2955,Hunter,Lake Macquarie,Drug offences,"Dealing, trafficking in other drugs",0,1,0,0,0,0,0,1,0,0,0
2956,Hunter,Lake Macquarie,Drug offences,Cultivating cannabis,41,44,40,19,20,26,24,24,34,26,30
2957,Hunter,Lake Macquarie,Drug offences,Manufacture drug,12,0,0,0,0,1,0,3,0,0,1
2958,Hunter,Lake Macquarie,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
2959,Hunter,Lake Macquarie,Drug offences,Other drug offences,25,25,47,22,23,34,24,19,27,31,57
2960,Hunter,Lake Macquarie,Prohibited and regulated weapons offences,,123,168,207,137,127,133,111,124,75,111,141
2961,Hunter,Lake Macquarie,Disorderly conduct,Trespass,114,113,129,157,145,135,141,159,111,134,122
2962,Hunter,Lake Macquarie,Disorderly conduct,Offensive conduct,52,56,45,76,80,63,77,78,82,77,59
2963,Hunter,Lake Macquarie,Disorderly conduct,Offensive language,81,65,46,49,59,64,76,68,83,79,69
2964,Hunter,Lake Macquarie,Disorderly conduct,Criminal intent,30,28,23,15,27,16,14,13,16,16,29
2965,Hunter,Lake Macquarie,Betting and gaming offences,,0,0,0,0,0,0,2,4,0,1,0
2966,Hunter,Lake Macquarie,Liquor offences,,152,112,153,169,165,140,153,152,137,69,67
2967,Hunter,Lake Macquarie,Pornography offences,,1,2,10,3,5,12,10,8,5,9,10
2968,Hunter,Lake Macquarie,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
2969,Hunter,Lake Macquarie,Against justice procedures,Escape custody,8,4,3,5,3,5,3,4,3,3,5
2970,Hunter,Lake Macquarie,Against justice procedures,Breach Apprehended Violence Order,520,499,370,407,415,360,363,341,359,357,344
2971,Hunter,Lake Macquarie,Against justice procedures,Breach bail conditions,99,150,138,123,155,127,161,283,496,635,727
2972,Hunter,Lake Macquarie,Against justice procedures,Fail to appear,17,5,1,3,0,4,1,5,5,10,12
2973,Hunter,Lake Macquarie,Against justice procedures,Resist or hinder officer,104,73,92,98,109,72,93,86,103,113,96
2974,Hunter,Lake Macquarie,Against justice procedures,Other offences against justice procedures,14,14,4,6,6,3,6,5,4,3,7
2975,Hunter,Lake Macquarie,Transport regulatory offences,,110,342,755,627,598,429,457,651,992,616,624
2976,Hunter,Lake Macquarie,Other offences,,316,338,262,259,251,213,231,192,243,256,370
2977,Hunter,Maitland,Homicide,Murder (a),0,0,0,3,1,2,0,1,0,0,0
2978,Hunter,Maitland,Homicide,Attempted murder,0,1,0,0,0,0,1,0,0,0,0
2979,Hunter,Maitland,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
2980,Hunter,Maitland,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
2981,Hunter,Maitland,Assault,Domestic violence related assault,279,316,292,313,305,299,301,269,286,296,326
2982,Hunter,Maitland,Assault,Non-domestic violence related assault,328,318,279,315,309,361,377,406,444,374,332
2983,Hunter,Maitland,Assault,Assault Police,23,21,22,11,18,17,37,11,15,20,16
2984,Hunter,Maitland,Sexual offences,Sexual assault,77,47,35,40,42,54,56,61,50,62,57
2985,Hunter,Maitland,Sexual offences,"Indecent assault, act of indecency and other sexual offences",57,61,35,42,57,48,62,54,61,91,64
2986,Hunter,Maitland,Abduction and kidnapping,,2,4,6,6,2,5,4,1,3,5,1
2987,Hunter,Maitland,Robbery,Robbery without a weapon,23,12,13,14,16,20,10,21,19,17,19
2988,Hunter,Maitland,Robbery,Robbery with a firearm,1,0,0,1,2,0,4,1,4,0,4
2989,Hunter,Maitland,Robbery,Robbery with a weapon not a firearm,5,7,17,4,6,15,9,9,9,11,17
2990,Hunter,Maitland,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,1
2991,Hunter,Maitland,"Harassment, threatening behaviour and private nuisance",,58,102,119,173,240,269,252,287,390,411,451
2992,Hunter,Maitland,Other offences against the person,,3,11,11,10,12,8,14,21,17,19,10
2993,Hunter,Maitland,Theft,Break and enter dwelling,505,558,449,402,343,394,411,358,405,398,407
2994,Hunter,Maitland,Theft,Break and enter non-dwelling,437,528,405,366,346,329,331,222,255,266,268
2995,Hunter,Maitland,Theft,Receiving or handling stolen goods,64,71,52,35,64,56,74,34,47,64,55
2996,Hunter,Maitland,Theft,Motor vehicle theft,380,301,208,253,254,308,236,267,212,201,228
2997,Hunter,Maitland,Theft,Steal from motor vehicle,556,656,469,396,571,736,770,624,668,727,607
2998,Hunter,Maitland,Theft,Steal from retail store,211,257,174,124,122,156,139,196,257,226,182
2999,Hunter,Maitland,Theft,Steal from dwelling,401,374,375,375,348,328,389,291,311,323,232
3000,Hunter,Maitland,Theft,Steal from person,40,44,41,33,47,46,59,56,49,63,49
3001,Hunter,Maitland,Theft,Stock theft,5,9,3,2,6,3,5,3,3,5,5
3002,Hunter,Maitland,Theft,Fraud,130,211,194,186,253,180,296,237,330,427,343
3003,Hunter,Maitland,Theft,Other theft,423,389,356,371,446,465,421,304,335,355,282
3004,Hunter,Maitland,Arson,,62,55,89,45,77,128,103,92,52,83,101
3005,Hunter,Maitland,Malicious damage to property,,810,827,906,944,1055,1029,1280,1292,1250,1300,1107
3006,Hunter,Maitland,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,1,0,0
3007,Hunter,Maitland,Drug offences,Possession and/or use of narcotics,1,1,0,3,3,2,2,2,1,7,2
3008,Hunter,Maitland,Drug offences,Possession and/or use of cannabis,94,99,68,61,85,43,90,66,120,156,154
3009,Hunter,Maitland,Drug offences,Possession and/or use of amphetamines,16,18,16,5,24,17,26,21,57,37,80
3010,Hunter,Maitland,Drug offences,Possession and/or use of ecstasy,0,1,2,2,2,0,2,25,38,13,33
3011,Hunter,Maitland,Drug offences,Possession and/or use of other drugs,5,2,3,3,5,3,6,8,10,11,16
3012,Hunter,Maitland,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
3013,Hunter,Maitland,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,1,0
3014,Hunter,Maitland,Drug offences,"Dealing, trafficking in cannabis",7,4,6,10,2,1,0,1,2,4,3
3015,Hunter,Maitland,Drug offences,"Dealing, trafficking in amphetamines",2,3,2,6,15,2,2,15,4,2,19
3016,Hunter,Maitland,Drug offences,"Dealing, trafficking in ecstasy",0,1,1,1,0,0,3,3,4,1,0
3017,Hunter,Maitland,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,1,0,1,0
3018,Hunter,Maitland,Drug offences,Cultivating cannabis,19,16,17,10,10,3,11,7,13,20,11
3019,Hunter,Maitland,Drug offences,Manufacture drug,0,1,0,0,0,1,0,2,0,0,0
3020,Hunter,Maitland,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
3021,Hunter,Maitland,Drug offences,Other drug offences,17,13,9,6,13,8,20,17,25,15,19
3022,Hunter,Maitland,Prohibited and regulated weapons offences,,39,68,29,64,58,47,58,53,62,53,70
3023,Hunter,Maitland,Disorderly conduct,Trespass,40,49,57,54,39,58,61,71,74,86,67
3024,Hunter,Maitland,Disorderly conduct,Offensive conduct,43,39,39,37,55,50,111,62,75,69,45
3025,Hunter,Maitland,Disorderly conduct,Offensive language,35,33,28,30,32,27,24,21,37,50,33
3026,Hunter,Maitland,Disorderly conduct,Criminal intent,17,11,6,4,10,10,13,16,22,19,17
3027,Hunter,Maitland,Betting and gaming offences,,0,0,0,0,0,0,3,2,1,0,2
3028,Hunter,Maitland,Liquor offences,,31,15,13,25,53,28,71,76,78,64,61
3029,Hunter,Maitland,Pornography offences,,1,3,3,1,1,0,0,4,3,8,6
3030,Hunter,Maitland,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
3031,Hunter,Maitland,Against justice procedures,Escape custody,2,2,5,1,4,2,2,0,2,1,0
3032,Hunter,Maitland,Against justice procedures,Breach Apprehended Violence Order,145,141,167,195,188,200,233,167,164,184,188
3033,Hunter,Maitland,Against justice procedures,Breach bail conditions,33,30,38,44,52,76,126,163,217,294,292
3034,Hunter,Maitland,Against justice procedures,Fail to appear,5,2,0,2,0,2,2,1,2,9,10
3035,Hunter,Maitland,Against justice procedures,Resist or hinder officer,54,35,49,42,76,55,61,63,61,57,53
3036,Hunter,Maitland,Against justice procedures,Other offences against justice procedures,3,5,2,1,3,0,0,6,0,5,4
3037,Hunter,Maitland,Transport regulatory offences,,44,213,386,398,383,301,390,580,954,462,804
3038,Hunter,Maitland,Other offences,,83,96,90,98,72,56,58,58,80,81,75
3039,Hunter,Muswellbrook,Homicide,Murder (a),0,2,0,0,0,2,0,0,0,0,0
3040,Hunter,Muswellbrook,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0
3041,Hunter,Muswellbrook,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
3042,Hunter,Muswellbrook,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,1,0
3043,Hunter,Muswellbrook,Assault,Domestic violence related assault,78,81,80,105,76,68,76,81,78,75,76
3044,Hunter,Muswellbrook,Assault,Non-domestic violence related assault,133,132,118,127,103,95,98,139,111,89,90
3045,Hunter,Muswellbrook,Assault,Assault Police,19,11,10,7,7,13,19,8,7,4,8
3046,Hunter,Muswellbrook,Sexual offences,Sexual assault,15,16,16,11,16,10,26,12,17,7,18
3047,Hunter,Muswellbrook,Sexual offences,"Indecent assault, act of indecency and other sexual offences",19,10,15,12,18,8,21,16,22,13,13
3048,Hunter,Muswellbrook,Abduction and kidnapping,,0,0,1,2,0,1,2,1,0,1,0
3049,Hunter,Muswellbrook,Robbery,Robbery without a weapon,3,4,3,2,2,5,3,9,7,0,3
3050,Hunter,Muswellbrook,Robbery,Robbery with a firearm,0,0,0,0,0,0,1,1,0,0,0
3051,Hunter,Muswellbrook,Robbery,Robbery with a weapon not a firearm,5,0,2,1,4,1,2,0,1,2,1
3052,Hunter,Muswellbrook,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
3053,Hunter,Muswellbrook,"Harassment, threatening behaviour and private nuisance",,56,53,51,55,44,67,38,56,53,44,75
3054,Hunter,Muswellbrook,Other offences against the person,,1,1,0,0,2,7,2,4,3,4,1
3055,Hunter,Muswellbrook,Theft,Break and enter dwelling,137,106,148,126,159,141,107,210,151,150,202
3056,Hunter,Muswellbrook,Theft,Break and enter non-dwelling,135,110,126,96,123,108,87,104,139,65,97
3057,Hunter,Muswellbrook,Theft,Receiving or handling stolen goods,16,18,25,18,13,12,16,6,13,7,6
3058,Hunter,Muswellbrook,Theft,Motor vehicle theft,54,43,46,64,39,26,33,62,46,50,60
3059,Hunter,Muswellbrook,Theft,Steal from motor vehicle,87,100,110,133,108,106,97,121,101,226,219
3060,Hunter,Muswellbrook,Theft,Steal from retail store,39,47,37,32,37,36,23,30,40,31,29
3061,Hunter,Muswellbrook,Theft,Steal from dwelling,72,67,88,83,76,81,61,85,70,77,79
3062,Hunter,Muswellbrook,Theft,Steal from person,5,6,9,11,13,4,8,9,12,6,9
3063,Hunter,Muswellbrook,Theft,Stock theft,2,4,7,1,3,0,4,3,2,1,0
3064,Hunter,Muswellbrook,Theft,Fraud,48,26,38,34,29,50,57,49,35,36,54
3065,Hunter,Muswellbrook,Theft,Other theft,116,92,88,85,91,93,90,81,74,94,86
3066,Hunter,Muswellbrook,Arson,,45,21,10,10,21,20,21,36,29,51,42
3067,Hunter,Muswellbrook,Malicious damage to property,,315,308,387,294,474,401,399,459,391,361,298
3068,Hunter,Muswellbrook,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,1,0,0,0,0,0
3069,Hunter,Muswellbrook,Drug offences,Possession and/or use of narcotics,1,1,1,1,0,0,3,1,0,0,2
3070,Hunter,Muswellbrook,Drug offences,Possession and/or use of cannabis,36,38,32,35,38,26,31,26,61,40,26
3071,Hunter,Muswellbrook,Drug offences,Possession and/or use of amphetamines,8,16,7,17,8,9,10,5,7,3,6
3072,Hunter,Muswellbrook,Drug offences,Possession and/or use of ecstasy,0,1,2,1,0,0,0,0,0,0,0
3073,Hunter,Muswellbrook,Drug offences,Possession and/or use of other drugs,0,5,1,1,2,2,4,2,4,1,3
3074,Hunter,Muswellbrook,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
3075,Hunter,Muswellbrook,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
3076,Hunter,Muswellbrook,Drug offences,"Dealing, trafficking in cannabis",2,3,2,2,0,1,1,0,1,1,0
3077,Hunter,Muswellbrook,Drug offences,"Dealing, trafficking in amphetamines",2,3,0,9,1,7,2,0,0,0,0
3078,Hunter,Muswellbrook,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0
3079,Hunter,Muswellbrook,Drug offences,"Dealing, trafficking in other drugs",0,0,1,0,1,0,0,0,0,1,0
3080,Hunter,Muswellbrook,Drug offences,Cultivating cannabis,3,5,2,11,3,1,8,4,6,4,5
3081,Hunter,Muswellbrook,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0
3082,Hunter,Muswellbrook,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
3083,Hunter,Muswellbrook,Drug offences,Other drug offences,8,7,8,10,5,6,6,5,14,5,12
3084,Hunter,Muswellbrook,Prohibited and regulated weapons offences,,25,32,25,28,15,20,35,27,22,18,17
3085,Hunter,Muswellbrook,Disorderly conduct,Trespass,16,20,33,31,27,25,27,21,31,20,15
3086,Hunter,Muswellbrook,Disorderly conduct,Offensive conduct,25,19,25,16,16,22,23,12,32,22,22
3087,Hunter,Muswellbrook,Disorderly conduct,Offensive language,21,5,11,12,17,22,16,20,29,14,9
3088,Hunter,Muswellbrook,Disorderly conduct,Criminal intent,6,5,2,1,1,5,4,5,4,9,2
3089,Hunter,Muswellbrook,Betting and gaming offences,,0,0,0,0,1,0,4,0,0,0,0
3090,Hunter,Muswellbrook,Liquor offences,,38,57,38,64,114,91,54,86,80,12,13
3091,Hunter,Muswellbrook,Pornography offences,,0,0,0,0,0,0,3,0,0,2,1
3092,Hunter,Muswellbrook,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
3093,Hunter,Muswellbrook,Against justice procedures,Escape custody,5,3,3,0,1,1,2,0,2,0,1
3094,Hunter,Muswellbrook,Against justice procedures,Breach Apprehended Violence Order,58,92,64,57,58,39,36,49,41,65,60
3095,Hunter,Muswellbrook,Against justice procedures,Breach bail conditions,30,32,49,56,33,42,35,32,41,46,50
3096,Hunter,Muswellbrook,Against justice procedures,Fail to appear,6,2,0,2,2,2,2,2,1,4,1
3097,Hunter,Muswellbrook,Against justice procedures,Resist or hinder officer,41,24,26,25,26,38,40,29,34,8,19
